feature,reason
MaxEStateIndex,correlation>0.9
HeavyAtomMolWt,correlation>0.9
ExactMolWt,correlation>0.9
NumValenceElectrons,correlation>0.9
MinAbsPartialCharge,correlation>0.9
FpDensityMorgan2,correlation>0.9
FpDensityMorgan3,correlation>0.9
BertzCT,correlation>0.9
Chi0,correlation>0.9
Chi0n,correlation>0.9
Chi0v,correlation>0.9
Chi1,correlation>0.9
Chi1n,correlation>0.9
Chi1v,correlation>0.9
Chi2n,correlation>0.9
Chi2v,correlation>0.9
Chi3n,correlation>0.9
Chi3v,correlation>0.9
Chi4n,correlation>0.9
Chi4v,correlation>0.9
HallKierAlpha,correlation>0.9
Kappa1,correlation>0.9
Kappa2,correlation>0.9
Kappa3,correlation>0.9
LabuteASA,correlation>0.9
SlogP_VSA11,correlation>0.9
SlogP_VSA6,correlation>0.9
VSA_EState6,correlation>0.9
HeavyAtomCount,correlation>0.9
NOCount,correlation>0.9
NumAromaticCarbocycles,correlation>0.9
NumHAcceptors,correlation>0.9
NumHDonors,correlation>0.9
NumHeteroatoms,correlation>0.9
NumSaturatedCarbocycles,correlation>0.9
MolMR,correlation>0.9
fr_Al_OH_noTert,correlation>0.9
fr_COO,correlation>0.9
fr_COO2,correlation>0.9
fr_C_O,correlation>0.9
fr_C_O_noCOO,correlation>0.9
fr_Nhpyrrole,correlation>0.9
fr_benzene,correlation>0.9
fr_nitro_arom_nonortho,correlation>0.9
fr_phenol,correlation>0.9
fr_phenol_noOrthoHbond,correlation>0.9
ChargeAsymmetry,correlation>0.9
Polarization,correlation>0.9
LogMolWt,correlation>0.9
