,0
BCUT2D_LOGPHI,0.2136998718842742
BCUT2D_CHGLO,0.20396960674501585
SMR_VSA4,0.19399055379023755
MaxAbsPartialCharge,0.17601314983859329
BCUT2D_MRLOW,0.1646181707905483
BCUT2D_LOGPLOW,0.16418007703982695
BCUT2D_MWLOW,0.16269493765436227
BCUT2D_CHGHI,0.15932037224722606
SlogP_VSA4,0.15876437288734424
SMR_VSA5,0.15813267728264568
SlogP_VSA5,0.15707960328125825
MinPartialCharge,0.14530340391810403
MaxPartialCharge,0.14472309004954242
AvgIpc,0.14327308774862146
VSA_EState8,0.14052098723789452
SlogP_VSA6,0.1379200583720923
SlogP_VSA2,0.13577150050567344
PEOE_VSA2,0.1306882576447257
VSA_EState7,0.1292745634929946
BCUT2D_MRHI,0.1292294764132893
FractionCSP3,0.12790494844978584
EState_VSA9,0.12650720873379262
EState_VSA2,0.12623801318402128
NumAliphaticRings,0.12608415775681214
FpDensityMorgan3,0.12602038952819905
MaxAbsEStateIndex,0.12597366702751245
MaxEStateIndex,0.12544504221234742
MinAbsPartialCharge,0.12012060633938093
NumAliphaticCarbocycles,0.118230967059056
BertzCT,0.11806228886694337
VSA_EState5,0.11594542367279503
Chi1n,0.11432636643839711
VSA_EState4,0.1118374183218096
EState_Delta,0.1102000080261698
PEOE_VSA7,0.10896290148497156
FpDensityMorgan2,0.10891821634907606
MolLogP,0.10865935371854629
MinEStateIndex,0.1064551480087168
SMR_VSA10,0.10608381918305243
PEOE_VSA6,0.10595829330890627
MinAbsEStateIndex,0.10492813589362848
VSA_EState1,0.1047005800442613
Kappa1,0.10467313903812148
NumValenceElectrons,0.10124122477227049
PEOE_VSA1,0.10068704116857541
NumHeteroatoms,0.10041029522153
Chi1v,0.0987741532183457
Chi0n,0.09839289833008635
EState_VSA8,0.09831230254046952
Chi1,0.09742724356711596
EState_VSA3,0.0971574455975519
Chi3n,0.0965361013609245
BCUT2D_MWHI,0.09646793749329641
SMR_VSA3,0.09634894127374283
EState_VSA1,0.09602398399117495
Kappa3,0.09418458561287668
fr_bicyclic,0.09238287242031529
SlogP_VSA1,0.09167718277688985
PEOE_VSA8,0.08981227540984138
Chi0v,0.08971425582921677
HallKierAlpha,0.08679083190053172
RingCount,0.08677761288382424
Chi0,0.08604663902000365
SMR_VSA1,0.08599612906325138
PEOE_VSA9,0.0846685450691349
NumAliphaticHeterocycles,0.08442981225149682
SPS,0.08433266937413597
NumAromaticCarbocycles,0.08176871440324884
NumRotatableBonds,0.08168675071445985
LabuteASA,0.08148087030870066
NumSaturatedCarbocycles,0.08112025820657243
VSA_EState2,0.08061932563667629
NumSaturatedHeterocycles,0.07877142101101398
MolLogP_sq,0.0787217077906841
SMR_VSA6,0.07700442063716428
PEOE_VSA10,0.0769019317146924
Chi2v,0.07543536114567928
Chi3v,0.07415642210463069
BalabanJ,0.07359422532117588
Chi4v,0.07327050272567348
PEOE_VSA11,0.07257149015054898
EState_VSA6,0.07138460963685489
HeavyAtomCount,0.07116445582901587
EState_VSA10,0.07096577953324656
ExactMolWt,0.07018339639586468
SMR_VSA7,0.06989316397195999
SlogP_VSA8,0.06986895158405426
qed,0.0682829961007867
EState_VSA4,0.06816685599599781
HeavyAtomMolWt,0.0677413957009616
Kappa2,0.0672417095288127
MolWt,0.06614988297634117
fr_benzene,0.0653655723618205
FpDensityMorgan1,0.0632313304914689
PEOE_VSA4,0.06288986368066696
SlogP_VSA10,0.0627499457952525
PEOE_VSA14,0.06208312266055227
Chi4n,0.061810983076183934
SlogP_VSA3,0.060545814011266685
PEOE_VSA12,0.0594964395764479
fr_ether,0.0570015676474922
NumAromaticRings,0.0549001349609024
fr_halogen,0.053933483943882976
NumSaturatedRings,0.053831500333321625
EState_VSA7,0.053415508355412644
NumHAcceptors,0.05047006893299777
VSA_EState10,0.04907519877983235
Chi2n,0.048999439050348315
VSA_EState6,0.04759810302169498
MolMR,0.047256283490362705
fr_NH2,0.046909718852433224
fr_allylic_oxid,0.04496030003718965
EState_VSA5,0.04472309120561224
NOCount,0.04413850536883901
NHOHCount,0.0416020281107472
fr_NH0,0.04110285739694719
fr_C_O_noCOO,0.04045389346654904
fr_para_hydroxylation,0.039493370073016454
VSA_EState9,0.039292365854850075
VSA_EState3,0.03914090231871992
fr_methoxy,0.03810836944655027
PEOE_VSA13,0.037806322247742274
TPSA,0.03754739010029384
SMR_VSA9,0.03684888013474019
fr_Imine,0.036777543297870974
PEOE_VSA5,0.03663474790617549
HAcceptors_to_HDonors_Ratio,0.03632994050438221
MolWt_x_TPSA,0.03162240727105203
SlogP_VSA12,0.02963161647517243
NumAromaticHeterocycles,0.02863262136762157
fr_ester,0.028153464662328487
